//SiPM index	DAC	p1 values	p1 errors
64	120	226.365	10.1251
65	120	253.667	0.583032
66	120	257.138	0.71661
67	120	255.899	0.534283
68	120	246.938	0.49836
69	120	252.781	0.501183
70	120	246.371	0.497233
71	120	385.287	20.9283
72	120	246.074	1.31411
73	120	257.649	0.448733
74	120	248.151	0.747899
75	120	244.4	0.54528
76	120	244.973	0.548264
77	120	258.227	0.477067
78	120	250.387	0.516004
79	120	240.915	0.658359
80	120	258.942	0.627024
81	120	254.895	0.512248
82	120	256.735	0.713304
83	120	240.879	0.62895
84	120	251.941	0.698373
85	120	253.555	0.530707
86	120	247.614	0.786522
87	120	236.474	0.566436
88	120	232.939	0.561657
89	120	245.865	0.671311
90	120	258.83	0.642768
91	120	241.577	0.725176
92	120	256.002	0.615042
93	120	239.793	0.928085
94	120	240.542	0.561398
95	120	242.694	0.591998
96	120	253.689	0.543343
97	120	260.761	0.559488
98	120	264.273	0.564087
99	120	258.107	0.612177
100	120	252.072	0.614326
101	120	253.507	0.523172
102	120	257.516	0.574135
103	120	247.794	0.83334
104	120	257.369	0.557744
105	120	266.176	0.489932
106	120	261.999	0.709016
107	120	249.438	0.617072
108	120	249.422	0.580093
109	120	255.132	0.531699
110	120	255.797	0.568993
111	120	257.372	0.471544
112	120	239.723	1.29599
113	120	251.97	0.541582
114	120	247.496	0.656117
115	120	253.205	0.425854
116	120	259.995	0.676354
117	120	253.294	0.431422
118	120	249.439	0.680294
119	120	237.592	1.04485
120	120	173.285	86.4097
121	120	259.208	0.775217
122	120	256.311	0.56174
123	120	243.369	0.957074
124	120	254.168	0.620808
125	120	239.626	0.829578
126	120	215.791	43.9611
127	120	253.902	37.024
